"Invoice Date","Invoice ID","Invoice Type","Sale Mode","Qty Sold","Sold Price"
01/02/2025,250170,Invoice,Sale,1,$1.99
01/02/2025,250170,Invoice,Sale,1,$4.99
01/02/2025,250170,Invoice,Sale,3,$12.99
01/02/2025,250171,Invoice,Return,-1,$18.06
01/02/2025,250172,Invoice,Sale,2,$80.00
01/02/2025,250172,Invoice,Return,-2,$82.00
01/02/2025,250173,Invoice,Sale,1,$39.00
01/02/2025,250173,Invoice,Sale,1,$28.60
01/02/2025,250173,Invoice,,0,$0.00
01/02/2025,250174,Invoice,Sale,120,$3.22
01/02/2025,250174,Invoice,Sale,12,$4.25
01/02/2025,250174,Invoice,,0,$0.00
01/02/2025,250174,Invoice,,0,$0.00
01/02/2025,250176,Invoice,Sale,20,$1.87
01/02/2025,250176,Invoice,Sale,1,$4.04
01/02/2025,250176,Invoice,Sale,1,$5.95
01/02/2025,250175,Invoice,Sale,3,$4.04
01/02/2025,250175,Invoice,Return,-2,$3.22
01/02/2025,250177,Invoice,Sale,1,$11.99
01/02/2025,250177,Invoice,Sale,2,$8.99
01/02/2025,250177,Invoice,Sale,1,$24.99
01/02/2025,250178,Invoice,Sale,5,$5.99
01/02/2025,250179,Invoice,Sale,1,$2.49
01/02/2025,250179,Invoice,Sale,1,$3.99
01/02/2025,250180,Invoice,Sale,10,$1.45
01/02/2025,250181,Invoice,Return,-1,$35.00
01/02/2025,250182,Invoice,Sale,1,$9.49
01/02/2025,250182,Invoice,Sale,3,$6.69
01/02/2025,250183,Invoice,Sale,2,$2.10
01/02/2025,250184,Layaway,Sale,60,$6.99
01/02/2025,250184,Layaway,Sale,120,$4.19
01/02/2025,250185,Invoice,Sale,2,$55.00
01/02/2025,250186,Invoice,Sale,3,$7.99
01/02/2025,250187,Invoice,Sale,3,$11.37
01/02/2025,250187,Invoice,Sale,2,$3.47
01/02/2025,250187,Invoice,Sale,3,$6.05
01/02/2025,250187,Invoice,Sale,1,$3.99
01/02/2025,250187,Invoice,Sale,1,$2.99
01/02/2025,250188,Invoice,Sale,1,$8.19
01/02/2025,250188,Invoice,Sale,3,$3.59
01/02/2025,250188,Invoice,Sale,2,$4.39
01/02/2025,250190,Invoice,Sale,1.3,$7.00
01/02/2025,250190,Invoice,Sale,1,$18.99
01/02/2025,250189,Invoice,Return,-1,$405.18
01/02/2025,250191,Invoice,Sale,1,$27.99
01/02/2025,250193,Invoice,Sale,1,$15.39
01/02/2025,250192,Invoice,Sale,4,$12.99
01/02/2025,250194,Invoice,Sale,50,$6.49
01/02/2025,250194,Invoice,Return,-22,$5.84
01/02/2025,250195,Invoice,Sale,1,$8.99
01/02/2025,250195,Invoice,Sale,1,$11.99
01/02/2025,250195,Invoice,Sale,2,$15.00
01/02/2025,250195,Invoice,Sale,1,$21.99
01/02/2025,250195,Invoice,Sale,1,$19.90
01/02/2025,250195,Invoice,,0,$0.00
01/02/2025,250195,Invoice,Sale,30,$1.87
01/02/2025,250195,Invoice,Sale,5,$3.67
01/02/2025,250195,Invoice,Sale,2,$21.79
01/02/2025,250195,Invoice,,0,$0.00
01/02/2025,250196,Invoice,Sale,1,$7.99
01/02/2025,250196,Invoice,Sale,1,$13.99
01/02/2025,250196,Invoice,Sale,1,$14.99
01/02/2025,250196,Invoice,Sale,1,$5.49
01/02/2025,250197,Invoice,Sale,6,$13.69
01/02/2025,250197,Invoice,Sale,2,$24.99
01/02/2025,250197,Invoice,Sale,4,$28.60
01/02/2025,250197,Invoice,Sale,1,$1.34
01/02/2025,250197,Invoice,Sale,1,$19.99
01/02/2025,250198,Invoice,Return,-1,$15.00
01/02/2025,250199,Invoice,Sale,1,$28.60
01/02/2025,250199,Invoice,Sale,4,$3.59
01/02/2025,250199,Invoice,Sale,1,$144.79
01/02/2025,250199,Invoice,,0,$0.00
01/02/2025,250200,Invoice,Sale,1,$72.26
